qCODE_SESSION|DESCRIPTION|DESCRIPTION_ACT|DESCRIPTION_NAT|NOM_COUR|LIEU_1|LIEU_2|ARRONDISSEMENT|ADRESSE|DATE_DEB|DATE_FIN|JOUR_SEMAINE|HEURE_DEBUT|HEURE_FIN
H2015|Adolescents(es)|Adolescents(es)|Loisirs jeunesse|Maison des jeunes de Beauport Ouest|Parc La Ribambelle|Ecole la Ribambelle gymnase|Arrondissement de Beauport|333, rue Perroteau, Quebec (QC) G1C 5Z4 |2015-01-05|2015-06-20|Jeudi|18:00:00|22:00:00
H2015|Centre de jour Feu Vert|Centre de jour Feu Vert|Loisirs recreatifs|Centre de jour Feu Vert inc. (secteur Beauport)|Centre de loisirs La Sabliere|La Sabliere petite salle­|Arrondissement de Beauport|156, rue Bertrand, Quebec (QC) G1B 1H7 |2015-01-06|2015-06-26|Mardi|08:30:00|15:30:00
P2015|Badminton - Groupe communautaire|Badminton - Groupe communautaire|Sports et de plein air|Loisirs et Sports Neufchatel inc.|Centre recreatif Apprenti-Sage|Centre recreatif Apprenti-Sage \ gymnase simple|Arrondissement des Rivieres|2200, rue Coursol, Quebec (QC) G2B 4Y4 |2015-04-30|2015-07-16|Jeudi|20:00:00|22:00:00
P2015|Hockey interieur - Groupe communautaire|Hockey interieur - Groupe communautaire|Sports et de plein air|Loisirs et Sports Neufchatel inc.|Centre recreatif Apprenti-Sage|Centre recreatif Apprenti-Sage \ gymnase simple|Arrondissement des Rivieres|2200, rue Coursol, Quebec (QC) G2B 4Y4 |2015-05-03|2015-07-19|Dimanche|16:00:00|17:30:00
P2015|Hockey interieur - Groupe communautaire|Hockey interieur - Groupe communautaire|Sports et de plein air|Loisirs et Sports Neufchatel inc.|Centre recreatif Apprenti-Sage|Centre comm. C.-A.-Savard \ gymnase simple SS109-2-3-4|Arrondissement des Rivieres|2200, rue Coursol, Quebec (QC) G2B 4Y4 |2015-05-01|2015-07-17|Vendredi|16:30:00|17:30:00
H2015|Maison des jeunes Neufchatel|Maison des jeunes Neufchatel|Loisirs jeunesse|Maison des jeunes de St-Andre de Neufchatel (La)|Pavillon de service Saint-Andre|Pav. de service Saint-Andre \ salle rez-de-chaussee|Arrondissement des Rivieres|2125, boulevard Bastien, Quebec (QC) G2B 1B8 |2015-01-01|2015-03-31|Mercredi|18:00:00|22:00:00
H2015|Maison des jeunes Neufchatel|Maison des jeunes Neufchatel|Loisirs jeunesse|Maison des jeunes de St-Andre de Neufchatel (La)|Pavillon de service Saint-Andre|Pav. de service Saint-Andre \ salle rez-de-chaussee|Arrondissement des Rivieres|2125, boulevard Bastien, Quebec (QC) G2B 1B8 |2015-01-01|2015-03-31|Vendredi|17:00:00|23:00:00
P2015|Maison des jeunes Neufchatel|Maison des jeunes Neufchatel|Loisirs jeunesse|Maison des jeunes de St-Andre de Neufchatel (La)|Pavillon de service Saint-Andre|Pav. de service Saint-Andre \ salle rez-de-chaussee|Arrondissement des Rivieres|2125, boulevard Bastien, Quebec (QC) G2B 1B8 |2015-04-01|2015-06-30|Mercredi|18:00:00|22:00:00
E2015|Evenement special - Fete nationale|Evenement special|Evenement special|Loisirs et Sports Neufchatel inc.|Centre communautaire Charles-Auguste-Savard|Centre comm. C.-A.-Savard \ p. salle SS-105|Arrondissement des Rivieres|2155, boulevard Bastien, Quebec (QC) G2B 1B8 |2015-06-24|2015-06-24|Mercredi|08:00:00|23:59:00
E2015|Evenement special - Fete nationale|Evenement special|Evenement special|Loisirs et Sports Neufchatel inc.|Centre communautaire Charles-Auguste-Savard|Parc St-Andre \ tennis 1-2|Arrondissement des Rivieres|2155, boulevard Bastien, Quebec (QC) G2B 1B8 |2015-06-24|2015-06-24|Mercredi|08:00:00|23:59:00
